,precision,recall,f1-score
micro avg,0.20196838651953475,0.4457022508885086,0.27797389376898446
macro avg,0.17752823176578073,0.3656383972809126,0.2284344068347734
weighted avg,0.24010470620574187,0.4457022508885086,0.3030745016495023
