Disease,AUC
Hernia,0.8808938698352687
Edema,0.8664374765462497
Pneumothorax,0.8477731444086534
Emphysema,0.8398730586862752
Effusion,0.8386316001622677
Cardiomegaly,0.8206740992082727
Consolidation,0.7914159596802213
Fibrosis,0.758828019514175
Atelectasis,0.7510631118168806
Pleural_Thickening,0.7337622951892856
Mass,0.7161599115048747
Pneumonia,0.6916315577783285
Infiltration,0.6742962799609479
Nodule,0.6477469604358963
