accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.9481472969055176,0.684676468372345,0.17320910096168518,0.4615384638309479,0.016978608444333076,0.9478121995925903,0.7268685698509216,0.16879618167877197,0.5696969628334045,0.010986442677676678,9.999999747378752e-06
0.9482951164245605,0.7094107866287231,0.16929957270622253,0.5004712343215942,0.016332682222127914,0.9478430151939392,0.7386557459831238,0.16745933890342712,0.5679611563682556,0.013674614019691944,9.999999747378752e-06
0.948367178440094,0.7176836729049683,0.16754786670207977,0.5195362567901611,0.01860879920423031,0.9478979110717773,0.7481009364128113,0.1667449027299881,0.5682656764984131,0.017999064177274704,9.999999747378752e-06
0.948420524597168,0.7296642661094666,0.16585789620876312,0.5287481546401978,0.02234593965113163,0.9479594230651855,0.7514200210571289,0.16606780886650085,0.5727553963661194,0.021622253581881523,9.999999747378752e-06
0.9484688639640808,0.7375112175941467,0.16450151801109314,0.5364325642585754,0.025021914392709732,0.947971522808075,0.7544751167297363,0.16561515629291534,0.5698005557060242,0.023375408723950386,9.999999747378752e-06
0.9485247135162354,0.7424532771110535,0.1634739637374878,0.5439610481262207,0.02749796211719513,0.9478552341461182,0.7623542547225952,0.16516204178333282,0.534246563911438,0.027349228039383888,9.999999747378752e-06
0.9485630393028259,0.7472746968269348,0.16256651282310486,0.5465821623802185,0.030496900901198387,0.9478309750556946,0.7616216540336609,0.16451355814933777,0.5270833373069763,0.029569892212748528,9.999999747378752e-06
0.9485980868339539,0.7534942626953125,0.16159574687480927,0.5488086342811584,0.032942190766334534,0.9478553533554077,0.7605389356613159,0.1641390472650528,0.5290697813034058,0.03190743178129196,9.999999747378752e-06
0.9486337900161743,0.7550535202026367,0.16127029061317444,0.5545315146446228,0.03331128880381584,0.9478920102119446,0.7668759226799011,0.1637340933084488,0.5361445546150208,0.031206171959638596,2.9999998787388904e-06
0.9486550688743591,0.7593774795532227,0.16071929037570953,0.5570672750473022,0.034003350883722305,0.94786137342453,0.7679292559623718,0.16363714635372162,0.5295237898826599,0.03249181807041168,2.9999998787388904e-06
